,Company,Departments,Description,Experience,Industry,Location,Portal,Portal_Id,Posted_On,Scraped_Datetime,Skills,Title,Type,URL,_id
0,PurchaseManager.co.in,['NA'],"We are searching for an engaged Telecaller to boost sales by reaching out to current and possible clients. To this end, the Telecaller will be required to obtain lists of individuals' information, and to source data for additional members of the target audience. You should also jot down important notes during conversations to facilitate follow-ups by our staff.To be successful as a Telecaller, you should be able to convince even the toughest of individuals to purchase our offerings. A remarkable Telecaller will suggest ways in which clients' feedback can be utilized to improve our services.Telecaller Responsibilities:Studying the details of each offering and remaining abreast of updates to these offerings.Obtaining and updating lists of individuals' contact details.Calling active and budding clients to encourage the purchase of items.Addressing clients' uncertainties, grievances, and suggestions on time.Noting important details of each conversation.Communicating verbal acceptances of offers to our Sales team for closing.Recording all successful and unsuccessful attempts to close sales.Attending regular team meetings to clarify progress and performance-related expectations.Conducting each of your functions with the utmost respect, regardless of others' dispositions.Telecaller Requirements:High school diploma or equivalent.Prior experience as a Telecaller or similar.Completion of a sales-related training program is preferred.Computer literate.Exposure to diverse viewpoints, cultural norms, and experiences.Superb verbal communication.Ability to switch your communication style on a whim.Superb interpersonal, research, and record-keeping skills.Capacity to receive critique without internalizing it.Job Types: Full-time, FresherSalary: From ₹9,500.00 per monthShift:NoSelection rounds:HR InterviewIndustry:SalesWork Remotely:No",NA,NA,"Hyderabad, Telangana",Indeed,-6096328588967236128,2020-08-10 11:08:24.895,2020-08-10 11:08:24.895,['NA'],Tele Calling Executive,Full Time,https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0D2wXPriNM_ZGaiZCepr5BNZN8S95IzbCMm1inNNx1dVDHrKzClN1FMiQX9-op0z0V3QdeuGHilIVoIgN1KrFD5IWl1se3NlsvyvKsqP_StuoenTSTwLviJPpj2MvKYpkVBJOgNPQsijuEEJ-cts3Y8x0XNkIOr2RrjCF8rnxPkjXQzRINpA9EBldVQTbRgfKYDr4SM1m1QntGOwMFiJH4WPbPxO3AsJBKT9t9RlxmzjbwGfHzK74lB-xR8paUqn-Wgo1r87q4JX8yZkFtbsjle64IMIkPgixJwi0nyHtaDgX1NhlxgaP0EDnX2OABq8-S6o5AwpxluryI6VwwJQrhYmrso_zei3McxtpVQZO97WcCCIVfVVC_I-AFbP7XtzTVt7JPRvAFc9v16tzP8O37qP23ysVQIJ9w2wQj3dR8ixmwfhLikehXkcIXbneO48qI=&p=0&fvj=1&vjs=3,5f312b953fca4a5498b8bff9
1,Omkar solution pvt ltd,['NA'],"looking for candidates who are proficient in English, Excel, have a stable internet connection with a laptop, and are jam-packed with a lot of commonsense. Candidates who have,Excellent Communication SkillTechnical CompetencyDetermination and PersistenceProblem-Solving SkillsJob Types: Full-time, Part-time, Fresher, Walk-InSalary: ₹10,000.00 - ₹15,000.00 per monthTyping Speed:Less than 25 words per minute (Preferred)Benefits:Health insuranceProvident fund (PF)Company Cab / Shuttle serviceTravel allowanceMeal card / Food couponsShift:Yes - Day ShiftSelection rounds:HR InterviewIndustry:Customer ServiceWork Remotely:No",NA,NA,"Jaipur, Rajasthan",Indeed,7981058017074669969,2020-08-10 11:08:36.367,2020-08-10 11:08:36.367,['NA'],Data Entry Operator Only Fresher,Full Time,https://www.indeed.co.in/company/Akar-fourwheel-private-limited/jobs/Data-Entry-Operator-Only-Fresher-0ec314034260a757?fccid=c6c032ab9d721007&vjs=3,5f312b953fca4a5498b8bffb
2,Articulate Solution,['NA'],"Job SummaryArticulate Solution is looking for highly creative and fast learner. Ideal Candidates should be Hardworking, Committed, Ready to face challenging situations and meet the deadlines.Key SkillsShould have working knowledge of computers., Should be fluent in English.Job Type: Full-timeSalary: ₹50,000.00 - ₹60,000.00 per yearEducation:Higher Secondary(12th Pass) (Preferred)Benefits:NoneIndustry:MarketingWork Remotely:Yes",NA,NA,"Karnal, Haryana",Indeed,3779358352512494663,2020-08-10 11:08:45.283,2020-08-10 11:08:45.283,['NA'],Search Engine Optimization (SEO) Fresher,Full Time,https://www.indeed.co.in/company/Articulate-Solution/jobs/Search-Engine-Optimization-Fresher-2b02a239f73a44f5?fccid=a9957face0338c95&vjs=3,5f312b953fca4a5498b8bffd
3,PurchaseManager.co.in,['NA'],"The role of a Business Development Executive is to assist the organisations sales and growth efforts by contributing to new customer acquisition. He/she should be able to provide ideas to attract new clients and keep the senior management updated about marketplace and competitor activity. The primary role and responsibilities of a Business Development Executive include:Build contacts with potential clients to create new business opportunitiesKeep prospective client database updatedMake cold calls for new business leadsSupport in writing new business proposalsMaintain knowledge of all product and service offerings of the companyArrange meetings for senior management with prospective clientsFollow company guidelines and procedures for acquisition of customers, submission of tenders etc.Competencies and Skills RequiredMust possess strong customer service skillsExcellent written and verbal communicationMust have good negotiation skillsMust be able to create good presentationsMust have excellent interpersonal skillsMust be detail oriented and an active listenerAbility to work under pressureJob Types: Full-time, Internship, FresherSalary: From ₹9,500.00 per monthBenefits:Travel allowanceSales role:AcquisitionTypical team size:2-3Travel requirements:Yes - ~100%Selection rounds:HR InterviewIndustry:SalesWork Remotely:No",NA,NA,"Hyderabad, Telangana",Indeed,6519899248915711328,2020-08-10 11:08:32.598,2020-08-10 11:08:32.598,['NA'],Business Development Executive,Full Time,https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0D2wXPriNM_ZGaiZCepr5BNZN8S95IzbCMm1inNNx1dVDHrKzClN1FMxjqGVPo-erRUwBg43h7rOpllaVBMIIbSLA0oY_1mxSkPFPqKWQ9eCh-9-cVcU2XWucpFeZAmUxmnT24RtBiPYXjFEEQkq1B8jytnMQWCykXwG6S_yNliftGMlhNllROLo4zwJR0vPdJOjrryxY84BB-DwTjvaMPnXXbAWqerBD9M8kL4WKl7L3XFxUNHwZouaIGEeEZ1hlFl6jS06KgIGzJQNA1agv9Or-O6nGyssM6z0OsRTbMm9tLTJN1GcoQbLEt_0TPHgmEheuCfDaKNl3ib7gCqFZt5DGgnGw6IWLdltESaRMCfpWxXdrQfM8tj6n-6PzxLhYlP441l0TmoojaJ1qrfodNYP9dkH70ak5WN-8Z23N95N59CFyYYGx3nYl2ZmlNPQog=&p=1&fvj=1&vjs=3,5f312b953fca4a5498b8bffa
4,Reliance Jio Infocomm Limited,['NA'],"Job Responsibilities :

1. Ensure a delightful customer experience at store
2. Acquire new customers
3. Provide post sales- service to walk- in customers
4. Achieve acquisition & revenue targets
5. Manage systems & store operations
6. Ensure stock availability in store
7. Ensure merchandising visibility in store
8. Maintain supply chain stability and inventory
9. Ensure daily cash deposit
10. Manage utility payments
Education Requirement :

10 + 2 / Graduation degree in any discipline
Experience Requirement :

Fresher / 1 - 2 years in Sales
Skills & Competencies :

1. Basic computer knowledge
2. Smartphone usage
3. Speak local language
4. English reading & writing
5. Cash handling skills
6. Sales and customer handling
7. Ability to learn
Location Map : Jio Point,Banjhulia,Bihar",NA,NA,"Bihar Sharif, Bihar",Indeed,-5924475931460364289,2020-08-10 11:08:40.578,2020-08-10 11:08:40.578,['NA'],Jio Point Assistant Manager,Full Time,https://www.indeed.co.in/rc/clk?jk=d0be9114238ebae1&fccid=f63c7e3396139126&vjs=3,5f312b953fca4a5498b8bffc
5,Sai Management,['NA'],"Opening for office co-ordinatormale and fem,ale both can applyfresher and experienced both can applyco-ordination with employeesmanage all data in excel sheetscontact70879605446280648430Job Type: Full-timeSalary: ₹10,000.00 - ₹14,000.00 per monthExperience:work: 1 year (Preferred)total work: 1 year (Preferred)Education:Secondary(10th Pass) (Preferred)",NA,NA,"Mohali, Punjab",Indeed,-7801018154744743590,2020-08-10 11:08:50.387,2020-08-10 11:08:50.387,['NA'],Opening for office co-ordinator,Full Time,https://www.indeed.co.in/company/SAI-Management/jobs/Opening-Office-Ordinator-73359b66fde7ec93?fccid=943579f7935923d2&vjs=3,5f312b953fca4a5498b8bffe
6,HTC Global Services Limited,['NA'],"HTC Global Services hiring freshers for Junior Data Science DeveloperJob Description: HTC Global Services hiring freshers (2018 and 2019 ) for the position Junior Data Science Developer.Candidates those who are in Chennai and immediately available to attend interview with HTC Global Services (MEPZ, Tambaram) can apply.About HTC Global Services: HTC Global Services (HTC) is a leading global provider of Information Technology (IT) and Business Process Services (BPS), headquartered in Troy, Michigan, USA. Established in 1990, HTC is an Inc. 500 Hall of Fame company and one of the fastest growing Asian American companies in the USA. Our client base spans over 2000 organizations across the globe. HTC acquired CareTech Solutions in December 2014 and Ciber, Inc. (Currently Ciber Global LLC) in June 2017. These acquisitions enable us to expand our operational capabilities in Healthcare IT and Technology Transformation services.HTC is an ISO 9001 and 27001 certified company with processes compliant to SEI CMM Level 5. With over 10 global delivery centers and operating presence in several countries, we serve global clients across multiple time zones. Our ‘Business Partner’ approach enables us to offer high business value for our clients. It also brings in the benefit of repeated business for HTC. Our strategic solutions enable clients to transform and thrive in the changing world.Designation : Fresher/ Junior Data Science Developer.Job Requirements: Key Skills: Should have good knowledge in basics OOPS concepts.Must possess good communication skill(both oral and written).Qualification : · Bachelors or masters in Science majored in Math/Statistics/Econometrics.· Bachelors in Engineering with Data science/AI/ML as part of the curriculum· Management graduates with specialisation in Analytics/Data Science/AI/ML.Eligiblity Citeria: · First class throughout curriculum is mandatory(from 10th standard to degree).Certificates/Diplomas:Should have done certification in date science, Analytics, Python from leading institutions or through online courses from Coursera/datacamp/udemy/udacityMust to have: Have few practical projects experience for a maximum of 2 years, active in Kaggle or other forums.Probation period : One YearSalary Offered : CTC 3.00 L paAgreement Period:3 Years from the date of joining and should be ready to submit original documents.Rounds of Interview: Round 1: Aptitude (Technical and English )Round 2: Technical & HR at the company.Job Type:  Permanant, Full-timeSalary: ₹300,000.00 per annum from Training onwards.Benefits: Provident fund (PF)Paid leaves / Leave encashmentIndustry: Software DevelopmentInterested candidates can reach me at : Pavithra.MSenior HR @ HTC Global Services LimitedOfficial Mobile Number: 9840604551Job Types: Full-time, FresherPay: From ₹20,000.00 per monthExperience:work: 1 year (Preferred)total work: 1 year (Preferred)Education:Bachelor's (Preferred)",NA,NA,"Chennai, Tamil Nadu",Indeed,-56684870383503756,2020-08-10 11:08:54.923,2020-08-10 11:08:54.923,['NA'],Fresher/Junior Data Science Developer,Full Time,https://www.indeed.co.in/company/HTC-Global-Service.INC/jobs/Fresher-Junior-Data-Science-Developer-aa826c9f98358006?fccid=41cf219fb91d61d8&vjs=3,5f312b953fca4a5498b8bfff
7,Sai Management,['NA'],"Opening for Computer OperatorMale and female both can applyfresher and experienced both can applytyping speed 25 w.p.m.Home base work is also availableexcel workcontact62806484307087960544Job Type: Part-timeSalary: ₹9,000.00 - ₹16,000.00 per monthExperience:Data Entry: 1 year (Preferred)total work: 1 year (Preferred)Education:Bachelor's (Preferred)Language:English (Preferred)",NA,NA,"Mohali, Punjab",Indeed,-7806743180561721978,2020-08-10 11:08:59.252,2020-08-10 11:08:59.252,['NA'],Opening for Computer Operator,Full Time,https://www.indeed.co.in/company/SAI-Management/jobs/Opening-Computer-Operator-c578f5fff0847930?fccid=943579f7935923d2&vjs=3,5f312b953fca4a5498b8c000
8,DIWAN MUNDHRA BRO. PVT. LTD,['NA'],"Responsibilities-Approve incoming materials by confirming specifications, conducting a visual and measurement test, and rejecting and returning unacceptable materialsApprove in-process production by confirming required specifications, conducting visual and measurement tests, and communicating the required adjustments to the production supervisorApprove all finished products by confirming specifications and conducting required testsReturn products for re-work if needed and complete documentation to confirm re-workDocument and update inspection results by completing reports and logsKeep measurement equipment operating by following operating instructions.Maintain safe work environment by following standards and procedures and complying with legal regulations. Requirement-DPT diploma from CIPETExcellent computer skills, including MS OfficeFRESHER FROM CIPET CAN ALSO APPLYJob Type: Full-timeSalary: ₹10,000.00 - ₹13,000.00 per monthExperience:Quality Control: 1 year (Preferred)Education:Diploma (Preferred)Work Remotely:No",NA,NA,"Sonipat, Haryana",Indeed,-6759928579305584896,2020-08-10 11:09:04.594,2020-08-10 11:09:04.594,['NA'],QC Executive( PREFERRED CIPET DPT FRESHER ),Full Time,https://www.indeed.co.in/company/DIWAN-MUNDHRA-BRO.-PVT-LTD/jobs/Qualitycontrol-Executive-96d3466258c29414?fccid=18e0f64cb1183054&vjs=3,5f312b953fca4a5498b8c001
9,Government of Tamil Nadu,['NA'],"Tirunelveli District Town Panchayats Recruitment 2020 - Office Assistant Vacancies - 50,000 Salary - Apply NowGovernment of Tamil Nadu Recruitment 2020-21: Employees State Insurance Corporation (Government of Tamil Nadu) announced Job notification to hire candidates who completed 8TH for the position of Office Assistant. To Apply for the job posting from Government of Tamil Nadu, please click on the Apply Now button below.Company Name: Government of Tamil Nadu
Post Name: Office Assistant
No of Posts: 2
Salary: 15,700 - 50,000 (Per Month)
Experience: fresher
Education: 8TH
Location: Tirunelveli
Last Date: 15-08-2020
Selection Procedure: Selection Will be Based either Written Exam/Interview

How To Apply:
Interested Candidates Can Be Apply on or Before The Last Date: 15.08.2020",NA,NA,"Tirunelveli, Tamil Nadu",Indeed,-1960386601741006500,2020-08-10 11:09:11.555,2020-08-10 11:09:11.555,['NA'],Office Assistant,Full Time,https://www.indeed.co.in/rc/clk?jk=109c6c496f4444a2&fccid=352531bdacaf684e&vjs=3,5f312b953fca4a5498b8c002
